,price_clp,price_uf,price_usd,comuna,ubicacion,dorms,baths,built_area,total_area,parking
2352,215000000,6041,267746,LasCondes,Casade1pisoenVitalApoquindo.,3,2.0,80.0,315.0,0
2353,476870410,13399,593861,Ñuñoa,DiegodeAlmagro|Bremen|MetroPríncipedeGales,4,3.0,167.0,544.0,3
2354,134530200,3780,167534,LaFlorida,Corcolen,3,2.0,62.0,62.0,2
2355,87195500,2450,108587,SanBernardo,YC57997LosAlicantos/Av.Portales,3,2.0,90.0,48.0,1
2356,112700000,3167,140349,EstaciónCentral,AlpatacalYC57072/PadreVicenteIrrarrazabal,3,1.0,120.0,200.0,0
2357,590046610,16579,734803,Recoleta,EntreAvda.Einstein/Recoleta/Guanaco/JoséMaríaCaro,5,2.0,207.0,467.0,1
2358,297176500,8350,370083,Pudahuel,Lasmalvas1386,4,3.0,140.0,275.0,2
2359,338105000,9500,421052,LaFlorida,LosRauliesconRojasMagallanes,5,4.0,140.0,312.0,2
2360,250000000,7024,311333,Macul,LasAzucenas,4,2.0,100.0,120.0,3
2361,569084100,15990,708698,LaReina,Mariamonvel,4,3.0,140.0,346.0,0
2362,89000000,2501,110834,PedroAguirreCerda,Safo5959,3,1.0,51.0,154.0,1
2363,60000000,1686,74720,Peñaflor,12deSeptiembrecon14dejulio,4,1.0,100.0,100.0,1
2364,125000000,3512,155666,SanBernardo,LuisGoicolea,6,2.0,220.0,135.0,0
2365,115000000,3231,143213,Maipú,Casa2PisosenConjuntoPortaldelBosque,3,3.0,85.0,123.0,0
2366,254824400,7160,317340,Peñalolén,Elembalse,3,3.0,123.0,123.0,0
2367,70000000,1967,87173,PuenteAlto,Quitalmahue/AccesoSur,3,2.0,82.0,70.0,0
2368,79000000,2220,98381,Quilicura,Manuelantoniomatta,2,11.0,47.0,89.0,1
2369,551645000,15500,686980,LasCondes,Avda.LasCondes/StadioItaliano,3,3.0,168.0,294.0,2
2370,100000000,2810,124533,Cerrillos,YC56424Av.SalvadorAllende/Av.LasTorres,3,1.0,75.0,95.0,1
2371,148000000,4158,184309,LoPrado,LoPrado,4,2.0,113.0,189.0,2
2372,176000000,4945,219178,PuenteAlto,pasajeportoalegre,4,3.0,109.0,153.0,0
2373,74739000,2100,93075,CerroNavia,Karlovackconsargentocandelaria,2,1.0,66.0,160.0,3
2374,1128203000,31700,1404985,LasCondes,CaminoMirasol/CaminoLasFlores,6,5.0,420.0,1000.0,1
2375,124565000,3500,155125,Maipú,VillaHolanda,3,2.0,65.0,100.0,1
2376,74500000,2093,92777,SanBernardo,Yc56507stacarolina/staana,3,2.0,126.0,101.0,1
2377,1014315000,28500,1263157,LasCondes,GralBlanche/Cam.Otoñal,5,6.0,454.0,454.0,6
2378,779421000,21900,970636,Colina,fundoelalgarrobal2,7,6.0,5000.0,5000.0,8
2379,850245100,23890,1058836,Ñuñoa,Cervantes/holanda,8,5.0,165.0,351.0,1
2380,943135000,26500,1174514,Colina,CondominioCasasdeHacienda,4,4.0,350.0,930.0,6
2381,180000000,5058,224159,LaFlorida,Av.Laflorida/walkermartines,4,2.0,116.0,120.0,2
2382,135000000,3793,168120,PuenteAlto,TroncalSanFranciscoAG/PlazaViva,3,2.0,75.0,102.0,0
2383,637061000,17900,793351,Providencia,Quillay,5,3.0,270.0,529.0,2
2384,141577020,3978,176310,LaFlorida,Santaraquel,3,2.0,69.0,131.0,1
2385,68000000,1911,84682,Maipú,DelFerrocarril,3,1.0,72.0,53.0,1
2386,70000000,1967,87173,LaFlorida,Laflorida,3,2.0,70.0,90.0,0
2387,772303000,21700,961772,Santiago,zapallar,4,4.0,250.0,250.0,0
2388,119938300,3370,149363,Cerrillos,Ongolmo,3,1.0,80.0,150.0,1
2389,195745000,5500,243767,QuintaNormal,Sta.Petronila832,4,2.0,150.0,200.0,2
2390,160155000,4500,199446,LoPrado,Mingana,5,2.0,180.0,160.0,4
2391,319598200,8980,398005,Pudahuel,TransversalUno,3,3.0,140.0,400.0,2
2392,355188200,9980,442327,Pudahuel,Losolmos,6,4.0,190.0,345.0,2
2393,327428000,9200,407756,Pudahuel,LosAbedules,3,3.0,130.0,350.0,2
2394,135000000,3793,168120,SanJoaquín,FranciscodeCastañeda,5,2.0,80.0,290.0,1
2395,7990,0,10,Pudahuel,Callenuevaunosur,4,3.0,161.0,233.0,2
2396,373339100,10490,464930,Pudahuel,C.elCoihue,3,4.0,180.0,390.0,2
2397,302515000,8500,376731,Pudahuel,C.NuevaUnoSur19900,6,3.0,145.0,270.0,2
2398,337749100,9490,420609,Pudahuel,ElAmanecerOriente,3,3.0,165.0,300.0,2
2399,223505200,6280,278338,Pudahuel,QuebradalasBandurrias,3,3.0,100.0,160.0,1
2400,238453000,6700,296953,Pudahuel,CerroBustamante,3,2.0,115.0,270.0,3
2401,338105000,9500,421052,Pudahuel,LosAlmendros,4,3.0,145.0,400.0,3
2402,145000000,4074,180573,PuenteAlto,NemesioVicuña2504,4,3.0,129.0,208.0,3
2403,208201500,5850,259280,QuintaNormal,PadreLorenzoEiting,7,3.0,250.0,310.0,0
2404,1209704100,33990,1506481,Providencia,Bilbao,7,6.0,260.0,580.0,0
2405,65000000,1826,80946,Maipú,LasNaciones/Av.Portales,3,1.0,78.0,60.0,0
2406,150000000,4215,186800,EstaciónCentral,PadreJaimeLarraínHurtado,2,2.0,105.0,190.0,3
2407,533850000,15000,664819,Pirque,ElCruceral,4,3.0,270.0,5700.0,7
2408,263366000,7400,327978,Peñalolén,PaseoPoniente,4,2.0,110.0,278.0,1
2409,153600000,4316,191283,SanBernardo,Eyzaguirrenu-60452/urmeneta,2,1.0,80.0,317.0,0
2410,120000000,3372,149440,Quilicura,Futuraestacióndelmetro/avlastorres,2,2.0,101.0,140.0,1
2411,389141060,10934,484609,SanJoaquín,Santiago,6,3.0,700.0,700.0,8
2412,210000000,5901,261519,PuenteAlto,Holanda,6,2.0,288.0,288.0,2
2413,120000000,3372,149440,LaGranja,Villalospensamientos,3,1.0,59.0,177.0,5
2414,327250050,9195,407534,Providencia,ViñadelMar/ParqueBustamante,11,3.0,218.0,172.0,0
2415,132500000,3723,165006,SanBernardo,Noscedal1,4,3.0,100.0,130.0,2
